﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
ACHERES-VILLE;87381657;DIM;2022-11-20;2022;A;A;Avant 6h;39
BEYNES;87393363;SAM;2024-01-20;2024;N;N;De 10h à 16h;94
CHAMP-DE-COURSES-D'ENGHIEN;87276030;DIM;2024-01-21;2024;H;H;De 10h à 16h;727
CHAMP-DE-COURSES-D'ENGHIEN;87276030;SAM;2024-01-20;2024;H;H;Avant 6h;47
CHAMP-DE-MARS-TOUR-EIFFEL;87393058;DIM;2025-09-02;2025;C;C;Avant 6h;8
CHAMPLAN;87725457;JOB;2024-11-26;2024;T12;T12;De 6h à 10h;29
CHAPONVAL;87276162;JOB;2024-01-16;2024;H;H;De 16h à 20h;14
CHAMPBENOIST-POIGNY;87115873;JOB;2023-11-14;2023;P;P;De 10h à 16h;100
COUILLY-SAINT-GERMAIN-QUINCY;87116731;DIM;2023-09-17;2023;P;P;De 6h à 10h;15
CHARS;87381194;JOB;2024-01-16;2024;J;J6;De 16h à 20h;88
CHANGIS-SAINT-JEAN;87116509;JOB;2023-09-19;2023;P;P;Avant 6h;26
CREPY-EN-VALOIS;87271593;JOB;2024-01-16;2024;K;K;De 16h à 20h;124
ACHERES-VILLE;87381657;JOB;2024-01-16;2024;L;L3;De 6h à 10h;992
CHAUMONT-EN-VEXIN;87381228;DIM;2024-01-21;2024;J;J6;De 6h à 10h;10
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;SAM;2019-03-16;2019;B;B;Après 20h;1486
CHANGIS-SAINT-JEAN;87116509;JOB;2023-09-19;2023;P;P;De 10h à 16h;79
AMEDEE-GORDINI;87745844;JOB;2024-11-26;2024;T12;T12;De 16h à 20h;314
CHANTILLY-GOUVIEUX;87276113;JOB;2024-05-03;2024;D;D;Après 20h;13
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;143
CHATELET-LES-HALLES;87758607;JOB;2024-05-03;2024;D;D;Avant 6h;258
ARBORETUM;87704320;SAM;2021-09-18;2021;T4;T4;De 10h à 16h;329
DOURDAN;87545525;JOB;2025-04-02;2025;C;C;Avant 6h;39
ARBORETUM;87704320;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;151
CHATELET-LES-HALLES;87758607;SAM;2024-02-03;2024;D;D;De 10h à 16h;14343
ARPAJON;87545467;SAM;2025-08-02;2025;C;C;De 16h à 20h;445
CHAUMONT-EN-VEXIN;87381228;JOB;2024-01-16;2024;J;J6;De 6h à 10h;219
ASNIERES-SUR-SEINE;87381137;DIM;2024-01-21;2024;L;L2;Avant 6h;15
DUGNY-LA-COURNEUVE;87697342;DIM;2021-11-21;2021;T11;T11;De 6h à 10h;127
ARBORETUM;87704320;JOB;2021-09-21;2021;T4;T4;De 10h à 16h;294
CHELLES-GOURNAY;87116111;JOB;2022-03-22;2022;E;E;De 16h à 20h;1605
AUBERGENVILLE-ELISABETHVILLE;87386730;SAM;2021-04-12;2021;J;J5;Avant 6h;36
CHELLES-GOURNAY;87116111;DIM;2023-11-19;2023;P;P;Après 20h;348
AULNAY-SOUS-BOIS;87271411;SAM;2021-11-09;2021;T4;T4;Après 20h;1144
CHEMIN-D'ANTONY;87546317;JOB;2025-06-02;2025;C;C;De 16h à 20h;227
AULNAY-SOUS-BOIS;87271411;JOB;2024-01-16;2024;K;K;De 16h à 20h;506
CHEZY-SUR-MARNE;87116574;SAM;2023-09-16;2023;P;P;De 6h à 10h;20
BELLOY-SAINT-MARTIN;87276550;DIM;2024-01-21;2024;H;H;De 10h à 16h;47
EPLUCHES;87276147;DIM;2024-01-21;2024;H;H;De 6h à 10h;8
BOIGNEVILLE;87684407;SAM;2024-02-03;2024;D;D;De 16h à 20h;6
EPONE-MEZIERES;87386763;JOB;2025-01-04;2025;J;J5;De 16h à 20h;443
BONNIERES;87415893;JOB;2025-01-04;2025;J;J5;De 6h à 10h;614
CONFLANS-FIN-D'OISE;87381459;JOB;2022-11-30;2022;A;A;De 16h à 20h;969
BIEVRES;87393546;JOB;2025-06-02;2025;C;V;De 10h à 16h;167
CRECY-LA-CHAPELLE;87116772;JOB;2023-09-19;2023;P;P;De 16h à 20h;61
BAGNEAUX-SUR-LOING;87684191;DIM;2024-01-21;2024;R;R;De 6h à 10h;27
ERAGNY-NEUVILLE;87381418;DIM;2024-01-21;2024;J;J6;Avant 6h;11
BOISSISE-LE-ROI;87682518;DIM;2024-03-03;2024;D;D;Après 20h;5
ERMONT-EAUBONNE;87276055;DIM;2025-09-02;2025;C;C;De 6h à 10h;338
BOUFFEMONT-MOISSELLES;87276485;SAM;2024-01-20;2024;H;H;De 16h à 20h;229
CROUY-SUR-OURCQ;87116640;JOB;2023-09-19;2023;P;P;Avant 6h;12
BOISSISE-LE-ROI;87682518;JOB;2024-02-04;2024;D;D;Après 20h;8
CREIL;87276006;JOB;2024-05-03;2024;D;D;Après 20h;38
BOULAINVILLIERS;87543181;SAM;2025-08-02;2025;C;C;De 10h à 16h;874
DOMONT;87276436;DIM;2024-01-21;2024;H;H;De 10h à 16h;676
BESSANCOURT;87276642;JOB;2024-01-16;2024;H;H;Après 20h;47
CROUY-SUR-OURCQ;87116640;SAM;2023-09-16;2023;P;P;Avant 6h;0
BORAN-SUR-OISE;87276444;JOB;2024-01-16;2024;H;H;Après 20h;1
DAMMARTIN-JUILLY-SAINT-MARD;87271536;JOB;2024-01-16;2024;K;K;Avant 6h;43
BOURAY;87545178;SAM;2025-08-02;2025;C;C;Après 20h;31
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;DIM;2025-09-02;2025;C;C;De 6h à 10h;348
BORAN-SUR-OISE;87276444;DIM;2024-01-21;2024;H;H;De 10h à 16h;10
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;JOB;2024-01-16;2024;H;H;Après 20h;197
BOUGIVAL;87382440;DIM;2024-01-21;2024;L;L2;De 6h à 10h;59
FREINVILLE-SEVRAN;87113894;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;530
BOUFFEMONT-MOISSELLES;87276485;JOB;2024-01-16;2024;H;H;De 6h à 10h;989
GAGNY;87113514;SAM;2022-03-19;2022;E;E;Après 20h;334
BREUILLET-VILLAGE;87545491;DIM;2025-09-02;2025;C;C;De 10h à 16h;184
GARCHES-MARNES-LA-COQUETTE;87382259;DIM;2024-01-21;2024;L;L2;Après 20h;90
BRUNOY;87682120;SAM;2024-02-03;2024;D;D;De 6h à 10h;1200
GARGAN;87113860;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;1935
BOIGNEVILLE;87684407;DIM;2024-03-03;2024;D;D;De 16h à 20h;11
ERAGNY-NEUVILLE;87381418;SAM;2024-01-20;2024;J;J6;Après 20h;107
BOIGNEVILLE;87684407;JOB;2024-02-04;2024;D;D;Après 20h;1
ERMONT-EAUBONNE;87276055;SAM;2024-01-20;2024;H;H;Avant 6h;81
CERGY-LE-HAUT;87382655;SAM;2022-11-19;2022;A;A;Avant 6h;120
ETAMPES;87545137;DIM;2025-09-02;2025;C;C;Après 20h;78
CAMP-DES-LOGES;87710939;JOB;2023-10-19;2023;T13;T13;De 16h à 20h;217
ESBLY;87116327;DIM;2023-11-19;2023;P;P;De 16h à 20h;405
CERGY-LE-HAUT;87382655;JOB;2022-11-30;2022;A;A;Avant 6h;447
BALLANCOURT;87681437;JOB;2024-12-03;2024;D;D;De 6h à 10h;550
CERGY-PREFECTURE;87381905;DIM;2022-11-20;2022;A;A;De 6h à 10h;868
EVRY-VAL-DE-SEINE;87681361;SAM;2024-02-03;2024;D;D;De 10h à 16h;343
BOIS-COLOMBES;87381079;DIM;2024-01-21;2024;J;J4;De 10h à 16h;1948
FERRIERES-FONTENAY;87684241;SAM;2024-01-20;2024;R;R;Avant 6h;2
BOIS-COLOMBES;87381079;SAM;2024-01-20;2024;J;J6;Après 20h;72
BOIS-DE-SAINT-EUTROPE;87745984;DIM;2024-01-12;2024;T12;T12;Après 20h;3
CERGY-PREFECTURE;87381905;JOB;2024-01-16;2024;L;L3;De 6h à 10h;1555
BOUSSY-SAINT-ANTOINE;87682138;DIM;2024-03-03;2024;D;D;De 6h à 10h;350
BONDY;87113407;DIM;2022-03-20;2022;E;E;De 16h à 20h;2009
BOUTIGNY;87681478;SAM;2024-02-03;2024;D;D;Avant 6h;2
CESSON;87682161;JOB;2024-05-03;2024;D;D;Après 20h;104
FREINVILLE-SEVRAN;87113894;JOB;2021-09-21;2021;T4;T4;Avant 6h;88
CHAMP-DE-MARS-TOUR-EIFFEL;87393058;DIM;2025-09-02;2025;C;C;De 16h à 20h;3787
GROS-NOYER-SAINT-PRIX;87276592;DIM;2024-01-21;2024;H;H;De 16h à 20h;319
CHAMPLAN;87725457;SAM;2024-11-30;2024;T12;T12;De 16h à 20h;3
BRUNOY;87682120;JOB;2024-05-03;2024;D;D;De 10h à 16h;1667
CHAMPAGNE-SUR-OISE;87276519;JOB;2024-01-16;2024;H;H;De 10h à 16h;115
GENNEVILLIERS;87271205;DIM;2025-09-02;2025;C;C;De 16h à 20h;497
CHAVILLE-RIVE-DROITE;87382333;SAM;2024-04-27;2024;U;U;De 10h à 16h;218
JUVISY;87545244;JOB;2024-02-04;2024;D;D;Après 20h;2560
CHAVILLE-VELIZY;87393173;DIM;2025-09-02;2025;C;C;De 10h à 16h;819
CHAMPAGNE-SUR-SEINE;87682450;SAM;2024-01-20;2024;R;R;De 6h à 10h;104
CLICHY-MONTFERMEIL;87704304;JOB;2021-09-21;2021;T4;T4;Avant 6h;9
JUVISY;87545244;JOB;2024-12-03;2024;D;D;Avant 6h;642
CHOISY-LE-ROI;87545285;JOB;2025-11-02;2025;C;C;De 10h à 16h;3924
GROSLAY;87276360;DIM;2024-01-21;2024;H;H;De 10h à 16h;522
CLICHY-MONTFERMEIL;87704304;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;275
GUERARD-LA-CELLE-SUR-MORIN;87116269;SAM;2023-11-18;2023;P;P;De 6h à 10h;12
COMPANS;87272047;JOB;2024-01-16;2024;K;K;De 10h à 16h;6
HERICY;87682435;JOB;2024-01-16;2024;R;R;De 6h à 10h;71
CLICHY-LEVALLOIS;87381129;JOB;2024-01-16;2024;L;L2;De 6h à 10h;2739
LA-DEFENSE;87382218;DIM;2024-01-21;2024;L;L2;De 16h à 20h;5511
CONFLANS-FIN-D'OISE;87381459;JOB;2024-01-16;2024;J;J6;Avant 6h;24
LA-DEFENSE;87382218;JOB;2024-04-23;2024;U;U;De 6h à 10h;3415
CERGY-SAINT-CHRISTOPHE;87382499;DIM;2022-11-20;2022;A;A;De 10h à 16h;1856
CHATEAU-THIERRY;87116582;SAM;2023-09-16;2023;P;P;Avant 6h;43
CORBEIL-ESSONNES;87681007;SAM;2024-02-03;2024;D;D;Avant 6h;226
LA-FERTE-ALAIS;87681452;DIM;2024-03-03;2024;D;D;De 16h à 20h;78
JAVEL;87393066;DIM;2025-09-02;2025;C;C;Avant 6h;5
CHAVILLE-RIVE-DROITE;87382333;SAM;2024-08-06;2024;U;U;De 16h à 20h;101
BECON-LES-BRUYERES;87382002;SAM;2024-01-20;2024;L;L3;Après 20h;575
LA-GRANDE-PAROISSE;87682476;DIM;2024-01-21;2024;R;R;Avant 6h;1
JUVISY;87545244;JOB;2024-12-03;2024;D;D;De 6h à 10h;8706
LA-NORVILLE-SAINT-GERMAIN-LES-ARPAJON;87545459;DIM;2025-09-02;2025;C;C;De 10h à 16h;174
BONDY;87113407;JOB;2022-03-22;2022;E;E;De 16h à 20h;2791
CHAVILLE-VELIZY;87393173;SAM;2025-08-02;2025;C;C;De 6h à 10h;366
FREPILLON;87276659;SAM;2024-01-20;2024;H;H;Après 20h;20
SEVRES-VILLE-D'AVRAY;87382341;SAM;2024-01-20;2024;L;L2;De 10h à 16h;813
JUZIERS;87381558;JOB;2024-01-16;2024;J;J6;Après 20h;18
COUILLY-SAINT-GERMAIN-QUINCY;87116731;SAM;2023-09-16;2023;P;P;De 6h à 10h;13
